leaid,name,name_public,charter,city,county,zip,state,state_abbr,enroll,frl,minority,national_math,national_reading
2509390,PELHAM,Pelham,0,AMHERST,HAMPSHIRE,1002,Massachusetts,MA,117,0.07,0.14,0.97,0.88
2502850,BOXBOROUGH,Boxborough,0,BOXBOROUGH,MIDDLESEX,1719,Massachusetts,MA,526,0.02,0.26,0.94,0.86
2004470,WACONDA,Waconda,0,CAWKER CITY,MITCHELL,67430,Kansas,KS,366,0.51,0.06,0.94,0.9
3403540,CRANBURY TOWNSHIP,Cranbury,0,CRANBURY,MIDDLESEX,8512,New Jersey,NJ,614,0.01,0.23,0.93,0.92
2501710,ACTON-BOXBOROUGH,Acton-Boxborough,0,ACTON,MIDDLESEX,1720,Massachusetts,MA,2957,0.02,0.26,0.92,0.88
5007380,KILLINGTON SCHOOL DISTRICT,Killington,0,KILLINGTON,RUTLAND,5751,Vermont,VT,91,0.29,0.07,0.92,
3400043,PRINCETON CHARTER SCHOOL,Princeton Charter,1,PRINCETON,MERCER,8540,New Jersey,NJ,320,0.05,0.34,0.92,0.88
3400025,ROBERT TREAT ACADEMY CHARTER,Treat Academy,1,NEWARK,ESSEX,7104,New Jersey,NJ,482,0.62,0.96,0.92,0.89
2513110,WINCHESTER,Winchester,0,WINCHESTER,MIDDLESEX,1890,Massachusetts,MA,4092,0.04,0.17,0.92,0.91
3615810,JERICHO UNION FREE SCHOOL DISTRICT,Jericho,0,JERICHO,NASSAU,11753,New York,NY,3132,0.02,0.33,0.92,0.9
2503330,CARLISLE,Carlisle,0,CARLISLE,MIDDLESEX,1741,Massachusetts,MA,720,0.01,0.12,0.92,0.9
2500063,ROXBURY PREPARATORY CHARTER (DISTRICT),Roxbury Preparatory,1,ROXBURY,SUFFOLK,2120,Massachusetts,MA,230,0.73,1,0.91,0.76
4601026,MCCOOK CENTRAL SCHOOL DISTRICT 43-7,McCook,0,SALEM,MCCOOK,57058,South Dakota,SD,389,0.38,0.05,0.91,0.82
3817130,SOUTH HEART 9,South Heart,0,SOUTH HEART,STARK,58655,North Dakota,ND,234,0.35,0.01,0.91,0.85
2509210,ORLEANS,Orleans,0,ORLEANS,BARNSTABLE,2653,Massachusetts,MA,197,0.17,0.14,0.91,0.87
2500085,ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Advance Math,1,MARLBOROUGH,MIDDLESEX,1752,Massachusetts,MA,633,0.04,0.27,0.91,0.88
2503900,CONWAY,Conway,0,SOUTH DEERFIELD,FRANKLIN,1373,Massachusetts,MA,169,0.08,0.15,0.91,0.89
3028020,WIBAUX K-12 SCHOOLS,Wibaux,0,WIBAUX,WIBAUX,59353,Montana,MT,148,0.35,0.04,0.91,0.73
2506840,LEXINGTON,Lexington,0,LEXINGTON,MIDDLESEX,2420,Massachusetts,MA,6235,0.05,0.36,0.91,0.89
2511340,SUDBURY,Sudbury,0,SUDBURY,MIDDLESEX,1776,Massachusetts,MA,3224,0.03,0.12,0.91,0.9
2511670,TOPSFIELD,Topsfield,0,BOXFORD,ESSEX,1921,Massachusetts,MA,677,0.01,0.04,0.9,0.91
5304980,MERCER ISLAND SCHOOL DISTRICT,Mercer Island,0,MERCER ISLAND,KING,98040,Washington,WA,4117,0.01,0.25,0.9,0.86
2003690,B & B,B and B,0,BAILEYVILLE,NEMAHA,66404,Kansas,KS,199,0.2,,0.9,0.86
2500075,EXCEL ACADEMY CHARTER (DISTRICT),Excel Academy,1,EAST BOSTON,SUFFOLK,2128,Massachusetts,MA,211,0.67,0.81,0.9,0.79
3415750,STILLWATER TOWNSHIP,Stillwater,0,STILLWATER,SUSSEX,7875,New Jersey,NJ,401,0.08,0.09,0.9,0.83
1000015,NEWARK CHARTER SCHOOL,Newark Charter,1,NEWARK,NEW CASTLE,19711,Delaware,DE,1286,0.11,0.27,0.9,0.94
1000011,SUSSEX ACADEMY OF ARTS AND SCIENCES,Sussex Academy,1,GEORGETOWN,SUSSEX,19947,Delaware,DE,323,0.07,0.11,0.9,0.91
3303990,JACKSON SCHOOL DISTRICT,Jackson,0,NORTH CONWAY,CARROLL,3860,New Hampshire,NH,81,0.06,0.32,0.9,0.73
