district,state_abbr,state_name,district_number,state_total,state_x,state_y,offset_x,offset_y,col,row,rlean
AK-1,AK,Alaska,1,1,0.12,0.84,0,0,1,1,15.52
AL-1,AL,Alabama,1,7,0.68,0.69,0,0,1,1,28.78
AL-2,AL,Alabama,2,7,0.68,0.69,0,0,1,1,31.15
AL-3,AL,Alabama,3,7,0.68,0.69,0,0,1,1,31.55
AL-4,AL,Alabama,4,7,0.68,0.69,0,0,1,1,60.1
AL-5,AL,Alabama,5,7,0.68,0.69,0,0,1,1,32.99
AL-6,AL,Alabama,6,7,0.68,0.69,0,0,1,1,47.44
AL-7,AL,Alabama,7,7,0.68,0.69,0,0,1,1,-41.48
AR-1,AR,Arkansas,1,4,0.565,0.62,0,0,1,1,31.56
AR-2,AR,Arkansas,2,4,0.565,0.62,0,0,1,1,11.2
AR-3,AR,Arkansas,3,4,0.565,0.62,0,0,1,1,32.36
AR-4,AR,Arkansas,4,4,0.565,0.62,0,0,1,1,30.69
AZ-1,AZ,Arizona,1,9,0.205,0.62,0,0,1,1,3.79
AZ-2,AZ,Arizona,2,9,0.205,0.62,0,0,1,1,-0.54
AZ-3,AZ,Arizona,3,9,0.205,0.62,0,0,1,1,-25.82
AZ-4,AZ,Arizona,4,9,0.205,0.62,0,0,1,1,41.24
AZ-5,AZ,Arizona,5,9,0.205,0.62,0,0,1,1,26.08
AZ-6,AZ,Arizona,6,9,0.205,0.62,0,0,1,1,15.81
AZ-7,AZ,Arizona,7,9,0.205,0.62,0,0,1,1,-45.47
AZ-8,AZ,Arizona,8,9,0.205,0.62,0,0,1,1,24.61
AZ-9,AZ,Arizona,9,9,0.205,0.62,0,0,1,1,-10.13
CA-1,CA,California,1,53,0.07,0.455,0,0,1,1,23.88
CA-10,CA,California,10,53,0.07,0.455,0,0,1,1,2.2
CA-11,CA,California,11,53,0.07,0.455,0,0,1,1,-39.96
CA-12,CA,California,12,53,0.07,0.455,0,0,1,1,-71.11
CA-13,CA,California,13,53,0.07,0.455,0,0,1,1,-75.62
CA-14,CA,California,14,53,0.07,0.455,0,0,1,1,-51.09
CA-15,CA,California,15,53,0.07,0.455,0,0,1,1,-38.07
CA-16,CA,California,16,53,0.07,0.455,0,0,1,1,-15.44
CA-17,CA,California,17,53,0.07,0.455,0,0,1,1,-46.06
CA-18,CA,California,18,53,0.07,0.455,0,0,1,1,-43.52
CA-19,CA,California,19,53,0.07,0.455,0,0,1,1,-44.13
CA-2,CA,California,2,53,0.07,0.455,0,0,1,1,-39.35
CA-20,CA,California,20,53,0.07,0.455,0,0,1,1,-41.28
CA-21,CA,California,21,53,0.07,0.455,0,0,1,1,-8.65
CA-22,CA,California,22,53,0.07,0.455,0,0,1,1,16.7
CA-23,CA,California,23,53,0.07,0.455,0,0,1,1,28.41
CA-24,CA,California,24,53,0.07,0.455,0,0,1,1,-11.76
CA-25,CA,California,25,53,0.07,0.455,0,0,1,1,1.54
CA-26,CA,California,26,53,0.07,0.455,0,0,1,1,-12.66
CA-27,CA,California,27,53,0.07,0.455,0,0,1,1,-29.02
CA-28,CA,California,28,53,0.07,0.455,0,0,1,1,-42.74
CA-29,CA,California,29,53,0.07,0.455,0,0,1,1,-54.59
CA-3,CA,California,3,53,0.07,0.455,0,0,1,1,-6.74
CA-30,CA,California,30,53,0.07,0.455,0,0,1,1,-34.82
CA-31,CA,California,31,53,0.07,0.455,0,0,1,1,-14.24
CA-32,CA,California,32,53,0.07,0.455,0,0,1,1,-31.62
CA-33,CA,California,33,53,0.07,0.455,0,0,1,1,-30.24
CA-34,CA,California,34,53,0.07,0.455,0,0,1,1,-67.03
CA-35,CA,California,35,53,0.07,0.455,0,0,1,1,-34.28
CA-36,CA,California,36,53,0.07,0.455,0,0,1,1,-1.53
CA-37,CA,California,37,53,0.07,0.455,0,0,1,1,-70.35
CA-38,CA,California,38,53,0.07,0.455,0,0,1,1,-31.82
CA-39,CA,California,39,53,0.07,0.455,0,0,1,1,0.9
CA-4,CA,California,4,53,0.07,0.455,0,0,1,1,21.27
CA-40,CA,California,40,53,0.07,0.455,0,0,1,1,-63.3
CA-41,CA,California,41,53,0.07,0.455,0,0,1,1,-21.69
CA-42,CA,California,42,53,0.07,0.455,0,0,1,1,18.39
CA-43,CA,California,43,53,0.07,0.455,0,0,1,1,-55.65
CA-44,CA,California,44,53,0.07,0.455,0,0,1,1,-66.27
CA-45,CA,California,45,53,0.07,0.455,0,0,1,1,5.73
CA-46,CA,California,46,53,0.07,0.455,0,0,1,1,-28.75
