district,rlean_2018,rlean_2020
AK-1,15.21,15.52
AL-1,28.61,28.78
AL-2,30.97,31.15
AL-3,31.37,31.55
AL-4,59.81,60.1
AL-5,32.81,32.99
AL-6,47.21,47.44
AL-7,-41.69,-41.48
AR-1,30,31.56
AR-2,9.63,11.2
AR-3,30.8,32.36
AR-4,29.13,30.69
AZ-1,5.56,3.79
AZ-2,1.22,-0.54
AZ-3,-24.11,-25.82
AZ-4,42.86,41.24
AZ-5,27.79,26.08
AZ-6,17.56,15.81
AZ-7,-43.88,-45.47
AZ-8,26.32,24.61
AZ-9,-8.38,-10.13
CA-1,22.53,23.88
CA-10,0.77,2.2
CA-11,-41.1,-39.96
CA-12,-71.57,-71.11
CA-13,-75.93,-75.62
CA-14,-52.03,-51.09
CA-15,-39.23,-38.07
CA-16,-16.83,-15.44
CA-17,-47.1,-46.06
CA-18,-44.6,-43.52
CA-19,-45.2,-44.13
CA-2,-40.5,-39.35
CA-20,-42.4,-41.28
CA-21,-10.07,-8.65
CA-22,15.3,16.7
CA-23,27.1,28.41
CA-24,-13.17,-11.76
CA-25,0.1,1.54
CA-26,-14.07,-12.66
CA-27,-30.3,-29.02
CA-28,-43.83,-42.74
CA-29,-55.47,-54.59
CA-3,-8.17,-6.74
CA-30,-36.03,-34.82
CA-31,-15.63,-14.24
CA-32,-32.87,-31.62
CA-33,-31.5,-30.24
CA-34,-67.6,-67.03
CA-35,-35.5,-34.28
CA-36,-2.97,-1.53
CA-37,-70.83,-70.35
CA-38,-33.07,-31.82
CA-39,-0.53,0.9
CA-4,19.9,21.27
CA-40,-63.97,-63.3
CA-41,-23.03,-21.69
CA-42,17,18.39
CA-43,-56.5,-55.65
CA-44,-66.87,-66.27
CA-45,4.3,5.73
CA-46,-30.03,-28.75
CA-47,-24.6,-23.27
CA-48,6.73,8.16
CA-49,1.13,2.57
CA-5,-40.03,-38.88
CA-50,21.57,22.92
CA-51,-42.2,-41.08
CA-52,-13.17,-11.76
CA-53,-27.63,-26.33
CA-6,-39.5,-38.34
CA-7,-4.97,-3.53
CA-8,18.67,20.04
CA-9,-14.33,-12.93
CO-1,-40.37,-39
CO-2,-16.77,-15.13
CO-3,13.56,15.22
CO-4,25.39,26.96
CO-5,26.49,28.04
CO-6,-4.07,-2.38
CO-7,-9.37,-7.69
CT-1,-20.56,-19.61
CT-2,-2.29,-1.31
CT-3,-15.02,-14.06
CT-4,-14.96,-13.99
CT-5,-1.39,-0.41
DE-1,-13.66,-12.13
FL-1,43.9,44.25
FL-10,-20.46,-20.09
FL-11,32.9,33.27
FL-12,19.8,20.18
FL-13,-0.8,-0.42
FL-14,-12.7,-12.32
FL-15,13.44,13.81
FL-16,14.9,15.28
FL-17,28.47,28.84
FL-18,12.27,12.65
FL-19,26.9,27.27
