state,rlean_2018,rlean_2020
Alabama,27,27
Alaska,15,16
Arizona,9,8
Arkansas,24,26
California,-24,-22
Colorado,-1,0
Connecticut,-11,-10
Delaware,-14,-12
Florida,5,6
Georgia,12,13
Hawaii,-36,-36
Idaho,35,33
Illinois,-13,-13
Indiana,18,17
Iowa,6,9
Kansas,23,21
Kentucky,23,24
Louisiana,17,19
Maine,-5,-3
Maryland,-23,-23
Massachusetts,-29,-23
Michigan,-1,-6
Minnesota,-2,-1
Mississippi,15,15
Missouri,19,21
Montana,18,18
Nebraska,24,25
Nevada,1,1
New Hampshire,2,1
New Jersey,-13,-11
New Mexico,-7,-8
New York,-22,-22
North Carolina,5,4
North Dakota,33,34
Ohio,7,6
Oklahoma,34,33
Oregon,-9,-7
Pennsylvania,1,1
Rhode Island,-26,-24
South Carolina,17,16
South Dakota,31,28
Tennessee,28,28
Texas,17,17
Utah,31,30
Vermont,-24,-24
Virginia,0,-7
Washington,-12,-15
West Virginia,30,33
Wisconsin,1,3
Wyoming,47,45
