id,rlean
1,-99.75
2,-99.25
3,-98.75
4,-98.25
5,-97.75
6,-97.25
7,-96.75
8,-96.25
9,-95.75
10,-95.25
11,-94.75
12,-94.25
13,-93.75
14,-93.25
15,-92.75
16,-92.25
17,-91.75
18,-91.25
19,-90.75
20,-90.25
21,-89.75
22,-89.25
23,-88.75
24,-88.25
25,-87.75
26,-87.25
27,-86.75
28,-86.25
29,-85.75
30,-85.25
31,-84.75
32,-84.25
33,-83.75
34,-83.25
35,-82.75
36,-82.25
37,-81.75
38,-81.25
39,-80.75
40,-80.25
41,-79.75
42,-79.25
43,-78.75
44,-78.25
45,-77.75
46,-77.25
47,-76.75
48,-76.25
49,-75.75
50,-75.25
51,-74.75
52,-74.25
53,-73.75
54,-73.25
55,-72.75
56,-72.25
57,-71.75
58,-71.25
59,-70.75
60,-70.25
61,-69.75
62,-69.25
63,-68.75
64,-68.25
65,-67.75
66,-67.25
67,-66.75
68,-66.25
69,-65.75
70,-65.25
71,-64.75
72,-64.25
73,-63.75
74,-63.25
75,-62.75
76,-62.25
77,-61.75
78,-61.25
79,-60.75
80,-60.25
81,-59.75
82,-59.25
83,-58.75
84,-58.25
85,-57.75
86,-57.25
87,-56.75
88,-56.25
89,-55.75
90,-55.25
91,-54.75
92,-54.25
93,-53.75
94,-53.25
95,-52.75
96,-52.25
97,-51.75
98,-51.25
99,-50.75
100,-50.25
101,-49.75
102,-49.25
103,-48.75
104,-48.25
105,-47.75
106,-47.25
107,-46.75
108,-46.25
109,-45.75
110,-45.25
111,-44.75
112,-44.25
113,-43.75
114,-43.25
115,-42.75
116,-42.25
117,-41.75
118,-41.25
119,-40.75
120,-40.25
121,-39.75
122,-39.25
123,-38.75
124,-38.25
125,-37.75
126,-37.25
127,-36.75
128,-36.25
129,-35.75
130,-35.25
131,-34.75
132,-34.25
133,-33.75
134,-33.25
135,-32.75
136,-32.25
137,-31.75
138,-31.25
139,-30.75
140,-30.25
141,-29.75
142,-29.25
143,-28.75
144,-28.25
145,-27.75
146,-27.25
147,-26.75
148,-26.25
149,-25.75
150,-25.25
151,-24.75
152,-24.25
153,-23.75
154,-23.25
155,-22.75
156,-22.25
157,-21.75
158,-21.25
159,-20.75
160,-20.25
161,-19.75
162,-19.25
163,-18.75
164,-18.25
165,-17.75
166,-17.25
167,-16.75
168,-16.25
169,-15.75
170,-15.25
171,-14.75
172,-14.25
173,-13.75
174,-13.25
175,-12.75
176,-12.25
177,-11.75
178,-11.25
179,-10.75
180,-10.25
181,-9.75
182,-9.25
183,-8.75
184,-8.25
185,-7.75
186,-7.25
187,-6.75
188,-6.25
189,-5.75
190,-5.25
191,-4.75
192,-4.25
193,-3.75
194,-3.25
195,-2.75
196,-2.25
197,-1.75
198,-1.25
199,-0.75
200,-0.25
201,0.25
202,0.75
203,1.25
204,1.75
205,2.25
206,2.75
207,3.25
208,3.75
209,4.25
210,4.75
211,5.25
212,5.75
213,6.25
214,6.75
215,7.25
216,7.75
217,8.25
218,8.75
219,9.25
220,9.75
221,10.25
222,10.75
223,11.25
224,11.75
225,12.25
226,12.75
227,13.25
228,13.75
229,14.25
230,14.75
231,15.25
232,15.75
233,16.25
234,16.75
235,17.25
236,17.75
237,18.25
238,18.75
239,19.25
240,19.75
241,20.25
242,20.75
243,21.25
244,21.75
245,22.25
246,22.75
247,23.25
248,23.75
249,24.25
250,24.75
251,25.25
252,25.75
253,26.25
254,26.75
255,27.25
256,27.75
257,28.25
258,28.75
259,29.25
260,29.75
261,30.25
262,30.75
263,31.25
264,31.75
265,32.25
266,32.75
267,33.25
268,33.75
269,34.25
270,34.75
271,35.25
272,35.75
273,36.25
274,36.75
275,37.25
276,37.75
277,38.25
278,38.75
279,39.25
280,39.75
281,40.25
282,40.75
283,41.25
284,41.75
285,42.25
286,42.75
287,43.25
288,43.75
289,44.25
290,44.75
291,45.25
292,45.75
293,46.25
294,46.75
295,47.25
296,47.75
297,48.25
298,48.75
299,49.25
300,49.75
301,50.25
302,50.75
303,51.25
304,51.75
305,52.25
306,52.75
307,53.25
308,53.75
309,54.25
310,54.75
311,55.25
312,55.75
313,56.25
314,56.75
315,57.25
316,57.75
317,58.25
318,58.75
319,59.25
320,59.75
321,60.25
322,60.75
323,61.25
324,61.75
325,62.25
326,62.75
327,63.25
328,63.75
329,64.25
330,64.75
331,65.25
332,65.75
333,66.25
334,66.75
335,67.25
336,67.75
337,68.25
338,68.75
339,69.25
340,69.75
341,70.25
342,70.75
343,71.25
344,71.75
345,72.25
346,72.75
347,73.25
348,73.75
349,74.25
350,74.75
351,75.25
352,75.75
353,76.25
354,76.75
355,77.25
356,77.75
357,78.25
358,78.75
359,79.25
360,79.75
361,80.25
362,80.75
363,81.25
364,81.75
365,82.25
366,82.75
367,83.25
368,83.75
369,84.25
370,84.75
371,85.25
372,85.75
373,86.25
374,86.75
375,87.25
376,87.75
377,88.25
378,88.75
379,89.25
380,89.75
381,90.25
382,90.75
383,91.25
384,91.75
385,92.25
386,92.75
387,93.25
388,93.75
389,94.25
390,94.75
391,95.25
392,95.75
393,96.25
394,96.75
395,97.25
396,97.75
397,98.25
398,98.75
399,99.25
400,99.75
