state,state_x,state_y,offset_x,offset_y,col,row,rlean,electors
Alabama,0.68,0.69,0,0,1,1,27,9
Alaska,0.12,0.84,0,0,1,1,16,3
Arizona,0.205,0.62,0,0,1,1,8,11
Arkansas,0.565,0.62,0,0,1,1,26,6
California,0.07,0.455,0,0,1,1,-22,55
Colorado,0.33,0.455,0,0,1,1,0,9
Connecticut,0.895,0.3,0,0,1,1,-10,7
Delaware,0.863,0.407,0,0,1,1,-12,3
District of Columbia,0.835,0.42,0,0,1,1,-100,3
Florida,0.785,0.83,0,0,1,1,6,29
Georgia,0.75,0.68,0,0,1,1,13,16
Hawaii,0.32,0.9,0,0,1,1,-36,4
Idaho,0.2,0.22,0,0,1,1,33,4
Illinois,0.62,0.41,0,0,1,1,-13,20
Indiana,0.67,0.42,0,0,1,1,17,11
Iowa,0.54,0.35,0,0,1,1,9,6
Kansas,0.46,0.49,0,0,1,1,21,6
Kentucky,0.7,0.5,0,0,1,1,24,8
Louisiana,0.57,0.77,0,0,1,1,19,8
Maine (statewide),0.93,0.14,0,0.01,1,1,-3,2
Maine (1st district),0.93,0.14,-0.007,-0.02,1,1,-12.99,1
Maine (2nd district),0.93,0.14,0.009,-0.02,1,1,8.03,1
Maryland,0.845,0.405,0,0,1,1,-23,10
Massachusetts,0.91,0.255,0,0,1,1,-23,11
Michigan,0.68,0.27,0,0,1,1,-6,16
Minnesota,0.53,0.19,0,0,1,1,-1,10
Mississippi,0.62,0.69,0,0,1,1,15,6
Missouri,0.56,0.49,0,0,1,1,21,10
Montana,0.29,0.15,0,0,1,1,18,3
Nebraska (statewide),0.44,0.38,0,0.01,1,1,25,2
Nebraska (1st district),0.44,0.38,-0.015,-0.02,1,1,20.65,1
Nebraska (2nd district),0.44,0.38,0,-0.02,1,1,4.75,1
Nebraska (3rd district),0.44,0.38,0.015,-0.02,1,1,51.41,1
Nevada,0.14,0.41,0,0,1,1,1,6
New Hampshire,0.903,0.22,0,0,1,1,1,4
New Jersey,0.875,0.363,0,0,1,1,-11,14
New Mexico,0.31,0.63,0,0,1,1,-8,5
New York,0.85,0.27,0,0,1,1,-22,29
North Carolina,0.805,0.55,0,0,1,1,4,15
North Dakota,0.43,0.15,0,0,1,1,34,3
Ohio,0.73,0.395,0,0,1,1,6,18
Oklahoma,0.47,0.59,0,0,1,1,33,7
Oregon,0.1,0.2,0,0,1,1,-7,7
Pennsylvania,0.81,0.35,0,0,1,1,1,20
Rhode Island,0.915,0.285,0,0,1,1,-24,4
South Carolina,0.79,0.62,0,0,1,1,16,9
South Dakota,0.43,0.265,0,0,1,1,28,3
Tennessee,0.68,0.575,0,0,1,1,28,11
Texas,0.44,0.74,0,0,1,1,17,38
Utah,0.23,0.42,0,0,1,1,30,6
Vermont,0.88,0.2,0,0,1,1,-24,3
Virginia,0.81,0.47,0,0,1,1,-7,13
Washington,0.12,0.08,0,0,1,1,-15,12
West Virginia,0.77,0.45,0,0,1,1,33,5
Wisconsin,0.6,0.25,0,0,1,1,3,10
Wyoming,0.31,0.3,0,0,1,1,45,3
