state,id,state_x,state_y,offset_x,offset_y,col,row,rlean,electors
Alabama,Alabama1,0.68,0.69,-1.2,0,1,1,27,9
Alaska,Alaska1,0.12,0.84,-1.2,0,1,1,16,3
Arizona,Arizona1,0.205,0.62,-1.2,0,1,1,8,11
Arkansas,Arkansas1,0.565,0.62,-1.2,0,1,1,26,6
California,California1,0.07,0.455,-1.2,0,1,1,-22,55
Colorado,Colorado1,0.33,0.455,-1.2,0,1,1,0,9
Connecticut,Connecticut1,0.935,0.326,-1.2,0,1,1,-10,7
Delaware,Delaware1,0.883,0.398,-1.2,0,1,1,-12,3
Florida,Florida1,0.785,0.83,-1.2,0,1,1,6,29
Georgia,Georgia1,0.75,0.68,-1.2,0,1,1,13,16
Hawaii,Hawaii1,0.32,0.9,-1.2,0,1,1,-36,4
Idaho,Idaho1,0.2,0.22,-1.2,0,1,1,33,4
Illinois,Illinois1,0.62,0.41,-1.2,0,1,1,-13,20
Indiana,Indiana1,0.675,0.42,-1.2,0,1,1,17,11
Iowa,Iowa1,0.54,0.35,-1.2,0,1,1,9,6
Kansas,Kansas1,0.46,0.49,-1.2,0,1,1,21,6
Kentucky,Kentucky1,0.7,0.5,-1.2,0,1,1,24,8
Louisiana,Louisiana1,0.57,0.77,-1.2,0,1,1,19,8
Maine,Maine1,0.93,0.14,-1.2,0,1,1,-3,4
Maryland,Maryland1,0.905,0.445,-1.2,0,1,1,-23,10
Massachusetts,Massachusetts1,0.91,0.250,-1.2,0,1,1,-23,11
Michigan,Michigan1,0.68,0.27,-1.2,0,1,1,-6,16
Minnesota,Minnesota1,0.53,0.19,-1.2,0,1,1,-1,10
Mississippi,Mississippi1,0.62,0.69,-1.2,0,1,1,15,6
Missouri,Missouri1,0.56,0.49,-1.2,0,1,1,21,10
Montana,Montana1,0.29,0.15,-1.2,0,1,1,18,3
Nebraska,Nebraska1,0.44,0.38,-1.2,0,1,1,25,5
Nevada,Nevada1,0.14,0.41,-1.2,0,1,1,1,6
New Hampshire,New Hampshire1,0.903,0.215,-1.2,0,1,1,1,4
New Jersey,New Jersey1,0.875,0.355,-1.2,0,1,1,-11,14
New Mexico,New Mexico1,0.31,0.63,-1.2,0,1,1,-8,5
New York,New York1,0.85,0.25,-1.2,0,1,1,-22,29
North Carolina,North Carolina1,0.805,0.55,-1.2,0,1,1,4,15
North Dakota,North Dakota1,0.43,0.15,-1.2,0,1,1,34,3
Ohio,Ohio1,0.73,0.395,-1.2,0,1,1,6,18
Oklahoma,Oklahoma1,0.47,0.59,-1.2,0,1,1,33,7
Oregon,Oregon1,0.1,0.2,-1.2,0,1,1,-7,7
Pennsylvania,Pennsylvania1,0.82,0.34,-1.2,0,1,1,1,20
Rhode Island,Rhode Island1,0.957,0.289,-1.2,0,1,1,-24,4
South Carolina,South Carolina1,0.79,0.62,-1.2,0,1,1,16,9
South Dakota,South Dakota1,0.43,0.265,-1.2,0,1,1,28,3
Tennessee,Tennessee1,0.68,0.575,-1.2,0,1,1,28,11
Texas,Texas1,0.44,0.74,-1.2,0,1,1,17,38
Utah,Utah1,0.23,0.42,-1.2,0,1,1,30,6
Vermont,Vermont1,0.88,0.18,-1.2,0,1,1,-24,3
Virginia,Virginia1,0.81,0.47,-1.2,0,1,1,-7,13
Washington,Washington1,0.12,0.08,-1.2,0,1,1,-15,12
West Virginia,West Virginia1,0.77,0.435,-1.2,0,1,1,33,5
Wisconsin,Wisconsin1,0.6,0.25,-1.2,0,1,1,3,10
Wyoming,Wyoming1,0.31,0.3,-1.2,0,1,1,45,3
Alabama,Alabama2,0.68,0.69,0.2,0,1,1,27,9
Alaska,Alaska2,0.12,0.84,0.2,0,1,1,16,3
Arizona,Arizona2,0.205,0.62,0.2,0,1,1,8,11
Arkansas,Arkansas2,0.565,0.62,0.2,0,1,1,26,6
California,California2,0.07,0.455,0.2,0,1,1,-22,55
Colorado,Colorado2,0.33,0.455,0.2,0,1,1,0,9
Connecticut,Connecticut2,0.935,0.326,0.2,0,1,1,-10,7
Delaware,Delaware2,0.883,0.398,0.2,0,1,1,-12,3
Florida,Florida2,0.785,0.83,0.2,0,1,1,6,29
Georgia,Georgia2,0.75,0.68,0.2,0,1,1,13,16
Hawaii,Hawaii2,0.32,0.9,0.2,0,1,1,-36,4
Idaho,Idaho2,0.2,0.22,0.2,0,1,1,33,4
Illinois,Illinois2,0.62,0.41,0.2,0,1,1,-13,20
Indiana,Indiana2,0.675,0.42,0.2,0,1,1,17,11
Iowa,Iowa2,0.54,0.35,0.2,0,1,1,9,6
Kansas,Kansas2,0.46,0.49,0.2,0,1,1,21,6
Kentucky,Kentucky2,0.7,0.5,0.2,0,1,1,24,8
Louisiana,Louisiana2,0.57,0.77,0.2,0,1,1,19,8
Maine,Maine2,0.93,0.14,0.2,0,1,1,-3,4
Maryland,Maryland2,0.905,0.445,0.2,0,1,1,-23,10
Massachusetts,Massachusetts2,0.91,0.250,0.2,0,1,1,-23,11
Michigan,Michigan2,0.68,0.27,0.2,0,1,1,-6,16
Minnesota,Minnesota2,0.53,0.19,0.2,0,1,1,-1,10
Mississippi,Mississippi2,0.62,0.69,0.2,0,1,1,15,6
Missouri,Missouri2,0.56,0.49,0.2,0,1,1,21,10
Montana,Montana2,0.29,0.15,0.2,0,1,1,18,3
Nebraska,Nebraska2,0.44,0.38,0.2,0,1,1,25,5
Nevada,Nevada2,0.14,0.41,0.2,0,1,1,1,6
New Hampshire,New Hampshire2,0.903,0.215,0.2,0,1,1,1,4
New Jersey,New Jersey2,0.875,0.355,0.2,0,1,1,-11,14
New Mexico,New Mexico2,0.31,0.63,0.2,0,1,1,-8,5
New York,New York2,0.85,0.25,0.2,0,1,1,-22,29
North Carolina,North Carolina2,0.805,0.55,0.2,0,1,1,4,15
North Dakota,North Dakota2,0.43,0.15,0.2,0,1,1,34,3
Ohio,Ohio2,0.73,0.395,0.2,0,1,1,6,18
Oklahoma,Oklahoma2,0.47,0.59,0.2,0,1,1,33,7
Oregon,Oregon2,0.1,0.2,0.2,0,1,1,-7,7
Pennsylvania,Pennsylvania2,0.82,0.34,0.2,0,1,1,1,20
Rhode Island,Rhode Island2,0.957,0.289,0.2,0,1,1,-24,4
South Carolina,South Carolina2,0.79,0.62,0.2,0,1,1,16,9
South Dakota,South Dakota2,0.43,0.265,0.2,0,1,1,28,3
Tennessee,Tennessee2,0.68,0.575,0.2,0,1,1,28,11
Texas,Texas2,0.44,0.74,0.2,0,1,1,17,38
Utah,Utah2,0.23,0.42,0.2,0,1,1,30,6
Vermont,Vermont2,0.88,0.18,0.2,0,1,1,-24,3
Virginia,Virginia2,0.81,0.47,0.2,0,1,1,-7,13
Washington,Washington2,0.12,0.08,0.2,0,1,1,-15,12
West Virginia,West Virginia2,0.77,0.435,0.2,0,1,1,33,5
Wisconsin,Wisconsin2,0.6,0.25,0.2,0,1,1,3,10
Wyoming,Wyoming2,0.31,0.3,0.2,0,1,1,45,3
