district,lean_2016
AK-AL,15.2
AL-01,29.4
AL-02,31.9
AL-03,33
AL-04,63
AL-05,33.4
AL-06,44.7
AL-07,-41.2
AR-01,34.8
AR-02,10.7
AR-03,31.4
AR-04,32.9
AZ-01,1.1
AZ-02,-4.9
AZ-03,-29.9
AZ-04,40.2
AZ-05,21.1
AZ-06,10
AZ-07,-49.2
AZ-08,21.1
AZ-09,-16.3
CA-01,19.7
CA-02,-45.7
CA-03,-12.6
CA-04,14.7
CA-05,-44.9
CA-06,-44.8
CA-07,-11.4
CA-08,15.1
CA-09,-18.6
CA-10,-3
CA-11,-48.8
CA-12,-77.5
CA-13,-80.6
CA-14,-58.7
CA-15,-45.7
CA-16,-21.6
CA-17,-53.4
CA-18,-53.2
CA-19,-51.4
CA-20,-47.2
CA-21,-15.5
CA-22,9.5
CA-23,22
CA-24,-20.2
CA-25,-6.7
CA-26,-21.9
CA-27,-37.6
CA-28,-49.8
CA-29,-60.9
CA-30,-43.4
CA-31,-21.1
CA-32,-38.9
CA-33,-41.3
CA-34,-72.9
CA-35,-40.8
CA-36,-8.8
CA-37,-76.1
CA-38,-39.6
CA-39,-8.6
CA-40,-69.4
CA-41,-27.9
CA-42,12
CA-43,-61.7
CA-44,-70.7
CA-45,-5.4
CA-46,-38.4
CA-47,-31.6
CA-48,-1.7
CA-49,-7.5
CA-50,15
CA-51,-49
CA-52,-22.5
CA-53,-34.9
CO-01,-45.8
CO-02,-21.3
CO-03,12
CO-04,23.1
CO-05,24
CO-06,-8.9
CO-07,-12
CT-01,-23.1
CT-02,-2.9
CT-03,-15.5
CT-04,-23
CT-05,-4.1
DE-AL,-11.5
FL-01,39.3
FL-02,35.6
FL-03,16
FL-04,28
FL-05,-25.4
FL-06,17
FL-07,-7.3
FL-08,20.7
FL-09,-12.9
FL-10,-26.9
FL-11,32.3
FL-12,18.6
FL-13,-3.2
FL-14,-18.2
FL-15,10
FL-16,10.7
FL-17,27.2
FL-18,9.2
FL-19,22.1
FL-20,-62.1
FL-21,-19.5
FL-22,-15.8
FL-23,-26.1
FL-24,-67.5
FL-25,1.8
FL-26,-16.3
FL-27,-19.6
GA-01,15.5
GA-02,-11.7
GA-03,31.5
GA-04,-53.1
GA-05,-73.1
GA-06,1.5
GA-07,6.3
GA-08,28.9
GA-09,58.5
GA-10,25.5
GA-11,25
GA-12,16.2
GA-13,-44.4
GA-14,52.9
HI-01,-32.6
HI-02,-31.8
IA-01,3.5
IA-02,4.1
IA-03,3.5
IA-04,27.4
ID-01,38.3
ID-02,24.7
IL-01,-54
IL-02,-58.9
IL-03,-15.3
IL-04,-68.9
IL-05,-46.6
IL-06,-7
IL-07,-78.2
IL-08,-21.7
IL-09,-45.2
IL-10,-29.4
IL-11,-23.5
IL-12,14.8
IL-13,5.5
IL-14,3.9
IL-15,46.2
IL-16,17.2
IL-17,0.7
IL-18,27.3
IN-01,-12.6
IN-02,23.2
IN-03,35
IN-04,34.1
IN-05,11.8
IN-06,40.3
IN-07,-22.8
IN-08,33.7
IN-09,26.9
KS-01,45
KS-02,18.4
KS-03,-1.2
KS-04,27.2
KY-01,48.5
KY-02,39.9
KY-03,-15
KY-04,35.9
KY-05,62.1
KY-06,15.3
LA-01,42
LA-02,-52.4
LA-03,38.1
LA-04,24
LA-05,29.4
LA-06,33.8
MA-01,-20.7
MA-02,-19.4
MA-03,-22.8
MA-04,-24.2
MA-05,-43.6
MA-06,-17.9
MA-07,-72.2
MA-08,-26
MA-09,-10.7
MD-01,28.6
MD-02,-24.4
MD-03,-30.5
MD-04,-57.5
MD-05,-32
MD-06,-15.1
MD-07,-55.6
MD-08,-34.4
ME-01,-14.8
ME-02,10.3
MI-01,21.3
MI-02,17.6
MI-03,9.4
MI-04,24.8
MI-05,-4.2
MI-06,8.4
MI-07,17
MI-08,6.7
MI-09,-7.8
MI-10,32.2
MI-11,4.4
MI-12,-26.3
MI-13,-60.7
MI-14,-60.9
MN-01,14.9
MN-02,1.2
MN-03,-9.4
MN-04,-30.9
MN-05,-55.2
MN-06,25.7
