"year","state","fips","sen_cont_alt","hs_cont_alt","sen_dem_prop_all","sen_rep_prop_all","hs_dem_prop_all","hs_rep_prop_all","govparty_c","government_cont","cont_text","cont_text_prev_yr","cont_flip","pop","pres_share_dem","pres_share_rep","pres_marg_rep","state_short","state_abbrev","bill_count","control","state_x","state_y"
1977,"Alabama",1,1,1,0.9428571,0,0.9809524,0,1,1,"full_dem",NA,NA,3782736,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
1978,"Alabama",1,1,1,0.9714286,0,0.9809524,0.0190476,1,1,"full_dem","full_dem",FALSE,3834120,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
1979,"Alabama",1,1,1,1,0,0.9619048,0.0380952,1,1,"full_dem","full_dem",FALSE,3869444,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
1980,"Alabama",1,1,1,1,0,0.9619048,0.0380952,1,1,"full_dem","full_dem",FALSE,3900368,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
1981,"Alabama",1,1,1,1,0,0.952381,0.0380952,1,1,"full_dem","full_dem",FALSE,3918533,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
1982,"Alabama",1,1,1,1,0,0.952381,0.0380952,1,1,"full_dem","full_dem",FALSE,3925263,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
1983,"Alabama",1,1,1,0.9142857,0.0857143,0.9238095,0.0761905,1,1,"full_dem","full_dem",FALSE,3934100,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
1984,"Alabama",1,1,1,0.9142857,0.0857143,0.9238095,0.0761905,1,1,"full_dem","full_dem",FALSE,3951824,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
1985,"Alabama",1,1,1,0.8,0.1142857,0.8285714,0.1142857,1,1,"full_dem","full_dem",FALSE,3972520,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
1986,"Alabama",1,1,1,0.8,0.1142857,0.8285714,0.1142857,1,1,"full_dem","full_dem",FALSE,3991569,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
1987,"Alabama",1,1,1,0.8571429,0.1428571,0.8476191,0.152381,0,0.6666667,"split","full_dem",TRUE,4015262,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
1988,"Alabama",1,1,1,0.8571429,0.1428571,0.8476191,0.152381,0,0.6666667,"split","split",FALSE,4023842,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
1989,"Alabama",1,1,1,0.8,0.1714286,0.8095238,0.1619048,0,0.6666667,"split","split",FALSE,4030219,NA,NA,NA,"Ala.","AL",NA,NA,0.68,0.685
