"year","cont_text","pop","pop_yr","pop_pct"
1977,"full_dem",136200624,219079107,0.621696088983967
1978,"full_dem",138068981,221428198,0.623538385115702
1979,"full_dem",96863106,223912963,0.432592667714374
1980,"full_dem",94142138,226586435,0.415480026419057
1981,"full_dem",88192058,228828851,0.38540620037462
1982,"full_dem",87486857,231030258,0.378681380341098
1983,"full_dem",112176667,233159581,0.481115408249082
1984,"full_dem",108624643,235191525,0.461856110674056
1985,"full_dem",84511072,237289185,0.356152228345342
1986,"full_dem",85552187,239494562,0.357219747645043
1987,"full_dem",56706346,241652006,0.234661184645825
1988,"full_dem",57284134,243868572,0.234897566054555
1989,"full_dem",54850321,246195054,0.222792132127886
1990,"full_dem",63073449,249017493,0.253289229765075
1991,"full_dem",80048188,252380071,0.31717317331288
1992,"full_dem",75234338,255916659,0.293979838178491
1993,"full_dem",95164880,259323287,0.36697390774628
1994,"full_dem",77800853,262536582,0.296342903557722
1995,"full_dem",31598852,265697876,0.118927755372798
1996,"full_dem",24990706,268821907,0.0929638000075641
1997,"full_dem",24085246,272079189,0.0885229263161322
1998,"full_dem",24390804,275288874,0.0886007619763086
1999,"full_dem",70574164,278469955,0.253435470264647
2000,"full_dem",70338876,281590365,0.249791487006311
2001,"full_dem",66789366,284394451,0.234847641243183
2002,"full_dem",73582835,287052035,0.256339708582801
2003,"full_dem",65026563,289539431,0.224586208432523
2004,"full_dem",40246548,292237544,0.137718608804076
2005,"full_dem",45872770,294949463,0.155527558970331
2006,"full_dem",46009990,297809231,0.154494841699517
2007,"full_dem",74251772,300656803,0.246965215019598
2008,"full_dem",70530893,303513730,0.232381227037077
2009,"full_dem",97026210,306179301,0.316893433628944
2010,"full_dem",88924812,308721861,0.288041837114995
2011,"full_dem",81086657,310963191,0.260759663351924
2012,"full_dem",81621434,313241925,0.260569954037921
2013,"full_dem",113402294,315408388,0.359541148284237
2014,"full_dem",115155373,317722726,0.362439836928757
2015,"full_dem",50559159,320061980,0.157966775685134
2016,"full_dem",50883343,322384179,0.157834491623734
2017,"full_dem",73947138,324425049,0.227932886896166
2018,"full_dem",63488949,326134052,0.19467132797283
2019,"full_dem",111600280,327621700,0.340637631756382
2020,"full_dem",120110821,328771307,0.365332431519032
2021,"full_dem",120110821,328771307,0.365332431519032
1977,"split",82878483,219079107,0.378303911016033
1978,"split",83359217,221428198,0.376461614884298
1979,"split",117463416,223912963,0.524594085247311
1980,"split",122836183,226586435,0.542116225977958
1981,"split",114289389,228828851,0.499453580702549
1982,"split",117186919,231030258,0.507236238293947
1983,"split",113358073,233159581,0.486182349933113
1984,"split",118907789,235191525,0.505578544975207
1985,"split",143980832,237289185,0.606773679971972
1986,"split",145104349,239494562,0.605877426978906
1987,"split",170161724,241652006,0.704160196377596
1988,"split",175160602,243868572,0.718258201798959
1989,"split",185364809,246195054,0.752918492830486
1990,"split",179921987,249017493,0.722527501310922
1991,"split",168738505,252380071,0.668588864134205
1992,"split",177014937,255916659,0.691689777803797
1993,"split",157065105,259323287,0.605672968351662
1994,"split",169373328,262536582,0.645141818750425
1995,"split",161615108,265697876,0.608266465780856
1996,"split",170713398,268821907,0.63504273109706
1997,"split",199885004,272079189,0.734657452981455
1998,"split",202411534,275288874,0.735269577222362
1999,"split",132089110,278469955,0.474338820502197
2000,"split",127546310,281590365,0.452949837257393
2001,"split",142775101,284394451,0.502031950686689
2002,"split",153836606,287052035,0.53591888313908
2003,"split",157390088,289539431,0.543587750574809
2004,"split",183855571,292237544,0.629130564415091
2005,"split",165753736,294949463,0.561973343887729
2006,"split",167000492,297809231,0.56076331629895
2007,"split",158295900,300656803,0.526500310056181
2008,"split",163847241,303513730,0.53983469215709
2009,"split",139394919,306179301,0.45527218379795
2010,"split",149116435,308721861,0.483012231518001
2011,"split",92164052,310963191,0.296382513002962
2012,"split",85121921,313241925,0.271744981135587
2013,"split",45079106,315408388,0.142922977685679
2014,"split",44215488,317722726,0.139163756262119
2015,"split",117325031,320061980,0.366569721901989
2016,"split",117698389,322384179,0.365087360568026
2017,"split",98093277,324425049,0.302360367371016
2018,"split",107266327,326134052,0.328902567340622
2019,"split",78814618,327621700,0.24056592710434
2020,"split",74834130,328771307,0.227617582211942
2021,"split",72387278,328771307,0.220175168753397
1977,"full_rep",0,219079107,0
1978,"full_rep",0,221428198,0
1979,"full_rep",9586441,223912963,0.0428132470383146
1980,"full_rep",9608114,226586435,0.0424037476029843
1981,"full_rep",26347404,228828851,0.115140218922832
1982,"full_rep",26356482,231030258,0.114082381364955
1983,"full_rep",7624841,233159581,0.0327022418178046
1984,"full_rep",7659093,235191525,0.0325653443507371
1985,"full_rep",8797281,237289185,0.0370740916826867
1986,"full_rep",8838026,239494562,0.0369028253760518
1987,"full_rep",14783936,241652006,0.0611786189765791
1988,"full_rep",11423836,243868572,0.0468442321464859
1989,"full_rep",5979924,246195054,0.0242893750416286
1990,"full_rep",6022057,249017493,0.0241832689240029
1991,"full_rep",3593378,252380071,0.0142379625529149
1992,"full_rep",3667384,255916659,0.0143303840177126
1993,"full_rep",7093302,259323287,0.0273531239020582
1994,"full_rep",15362401,262536582,0.0585152776918532
1995,"full_rep",72483916,265697876,0.272805778846346
1996,"full_rep",73117803,268821907,0.271993468895375
1997,"full_rep",48108939,272079189,0.176819620702412
1998,"full_rep",48486536,275288874,0.17612966080133
1999,"full_rep",75806681,278469955,0.272225709233156
2000,"full_rep",83705179,281590365,0.297258675736295
2001,"full_rep",74829984,284394451,0.263120408070128
2002,"full_rep",59632594,287052035,0.207741408278119
2003,"full_rep",67122780,289539431,0.231826040992669
2004,"full_rep",68135425,292237544,0.233150826780833
