v2paid,v2pavote,v2paimmig_le,v2paimmig_fe,v2pariglef_le,v2pariglef_fe,v2xpa_illiberal_le,v2xpa_illiberal_fe,notes
101,15.2,-2.594,-2.594,2.326,2.326,0.043,0.043,
298,13.1,-4.268,-4.268,1.579,1.579,0.17,0.17,
433,13.2,-2.503,-3.238,0.347,0.003,0.485,0.469,
463,16.2,-4.21,-4.21,1.469,1.469,0.386,0.371,
809,45.6,-2.841,-1.24,2.043,2.043,0.69,0.38,
1022,8.7,-3.714,-3.714,-0.241,-0.241,0.203,0.203,
1221,17.4,-3.966,-3.966,2.527,2.527,0.898,0.824,
1567,43.6,-2.182,-2.976,1.998,0.884,0.35,0.092,
1968,12,-3.782,-3.782,-0.946,-0.946,0.172,0.172,
1976,12.6,-2.74,-3.571,0.479,1.197,0.671,0.495,
2280,4.4,-3.319,-3.319,2.264,2.264,0.846,0.846,
3218,15.1,-4.184,-4.184,4.173,4.173,0.614,0.614,
7547,17.5,-3.089,-3.089,0.702,0.702,0.342,0.342,
1567,43.6,-3.557,-2.976,,,,,"This row is not actually fe to le, it is just for handling UK special case of doubling back on itself"
